Chat room,Link to chat room,Memo,Summary with BART,Length BART (words),Number of users,Number of messages,Age in months,Messages per month,Messages per user,Messages per (user x age),Type of chat room,Type of discussion,Year,Theme_01,Theme_02,Theme_03
milessabin/shapeless,https://gitter.im/milessabin/shapeless,"Members discuss about the use; hints and problems related to Shapeless. It is ""a type class and dependent type based generic programming library for Scala"". Their GitHub repository: https://github.com/milessabin/shapeless",['well I solved this way but I am not sure if this is correct someone could tell me please scala class GridEditableAcolFmt SeqValueTitle transformData Reportes Unit scala def transformDatarpt Reportes val fields Labelled genericDatosGralesReporte val ver rptasInstanceOfDatos Grales reporte val genRecord fieldstover printlngenRecordtoMap printlnMMMM N val grid new GridEditabilitycolsFmt transformData  where DatosGralsReporte inherit from Reportes. Can you have transformData jusy accept a Datos gralesreporte because of that asInstanceOf is all it can really accept anyway @esuntag well I want to have a component that accept different case class this is not possible So you want to make transformData work on different subtypes of Reportes and that example is for one specific subtype Thats definitely possible you can use a typeclass along with the LabelledGeneric to define the instances. Youll probably want to set it up as a type class and use implicit magic to make things work Something like the following httpsscalafiddleiosfMfJPlPh1. Is there a way to state MapString Any or something like this Ah ok Shapeless takes some time to get used to but once you get used\xa0to writing typeclass and learn to navigate the shapelessops Github section things start to fall into place. Is this new code Or are you updating something to 2130 New code You can use Witness On 213 you want something like scala val wFoo WitnessSymbolfoo type Foo wFOOT to compute the singleton type of the the symbol. On 212 you could have used symbol literal syntax scalaval wFoosSymbolFool Foo wfooT. But symbol literals a deprecated now FWIW I think working directly with fields from a Labelledgeneric isnt particularly common in real code although its something that people do a fair bit when theyre experimenting. I recommend using string literals wherever possible In principle it could but that would be a breaking change Its what I should have done all along mea culpa This will be fixed in shapless 30 Ill probably put out a 240 which also switches to string literALS. Would be nice better to have the constistent use of symbols or string Literals throughout the code. If youre explicitly using Symbol singleton types then you might need a few tweaks but most likely youre not  val book author Benjamin Pierce title Types and Programming Languages id 262162091 price 4411.'],378,1338,42131,53,794.92,31.49,0.59,Topic,Libraries,2015,Back-end,,
Mixer/developers,https://gitter.im/Mixer/developers,Members discuss development issues and hints related to Mixer. Mixer is an API that creates chats bots; sound players and data query for games; for instance. Website: https://dev.mixer.com/,['is it impossible use firebot with a game plugin in live  Yes you cant use the Interactive Services in Firebot while using a MixPlay enabled game as an Interactive Game Client on your channel. You can connect to REST Constellation and Chat from as many clients as you want though IP address based rate limits permitting good. If channel A is hosting channel B is there any way to get a list of the current people watching Channel B through Channel A   I know I can get a viewer count but I need the exact list of viewers Thanks From what I am seeing with the API this doesnt seem possible how to spend spark and put a timerthis documentation dont show everthing  i mean in Unity3d plugin @lipecss set the cooldown of the control by customizing your button. You will have to deduct sparks for viewers you want to bill when you are performing the action the control is meant to trigger. Is there an ETA on when the Mac version of the CDK is coming out    Is there how to disable and able button with keypress with unity3d Screen Shot 20190320 at 111837 PMpnghttpsfilesgitterimMixerdevelopersZ6okthumbScreenShot20190320at111837PMpnghTTps FilesgitterIMMixerDevelopersZ4okScreenShot 20190321 at 953 AM   # # # @NightmareJoker2  i see that theres set amounts now defined for sparks is there a list that contains totals higher than 10K id rather not incriment by 5 sparks til i have a list  DOES work @mikethemadkiwi did that actually get implemented last I saw they were holding off rolling it out yesterday then I have a lot of work to do today ill do today again ill check on the costs i was trying to check on but for nothing set the cost lab back to 25k usersusercomrestindexed works fine Does  \xa0Channels require authentication now am I getting a 401 error getting a status code 401 error? Unauthorized Unauthorized authentication Code 401 error Unauthorized unauthorized authentication code 401 Unauthorized  Unauthorized\xa0unauthorized unauthorised\xa0unauthorised. I used to press F5 for F5 but unfortuny when a button  dont stay able in my button in my game  I am getting a code error when it unfortunatelly when it   donâ€™t stay able to stay in my code  Iâ€™m getting acode error when  I press  F5 when it imain the button \xa0unortunity for \xa0F5 \xa0but unfortunly when it\xa0is unfortunally\xa0in my game code \xa0Iâ€™ll get a code code error now getting a\xa0status\xa0code 401 status error  I will get a status\xa0code\xa0401 status error when I \xa0get a statuscode 401 error   If \xa0you are checking the online field you will also only receive an event that includes it if the channel you are monitoring either starts or ends a broadcast it will only be true in the case of the former of the two.'],458,741,46128,47,981.45,62.25,1.32,Topic,Libraries,2015,Games development,Application programming interface,
mochajs/mocha,https://gitter.im/mochajs/mocha,"Members discuss about hints; problems and how to use resources of Mocha; a web testing tool. When you join this room; this message appears: ""Welcome to Mocha.js' Gitter!
If your bug / question remains unanswered; please open an Issue – otherwise it will be lost in a sea of messages :)
The main purpose of this chat is to get quick answers to questions; and getting tips or advise from other members of the community.
We transparently accept and spend donations via our [OpenCollective] – check it out; it's interesting nevertheless :).""",['@kiranmai1202 Interacting with a document is outside of the scope of Mocha. Is it possible to make a test fail by default instead of pass by default? Do we have output plugins for mocha like we have for karma eg karma junit xml plugin or is there a way to write such a plugin for Mocha runner? How do you tell Mocha to ignore nodemodules folder when looking for tests? Is there any feature that helps to get the value of react attributes in Mocha? Are there any links that goes into more details in this area? Do you have any questions about Mocha that you would like to ask? Please send them to: mail@mocha.com or e-mail:\xa0mocha-dev@mail.co.uk. I have a progress Bar on web site If it is possible to catch it and wait for results of the bar using Mocha using MoCha. I would expect that the code is executed in the order of the statements but instead get this log 1 00 12 00 1 12a 00a 00 12a. It seems that all code written directly in suites is executed BEFORE the 1a log. Even though this is written before the 12a log is executed before the 1b log. I gotta migrate my project to Jest ASAP. TBH seems I gotta migration my project  ASAP. I am trying to avoid writing tests that depend on each other the simplified example that I came across is something like this describeTest itshould load user details modal browserclickbtn browserwaitForVisiblemodal. Itshould ensure user name is displayed browserwait forVisibleuserinfoBla I know that nested describe blocks can help but does anyone have any links to help me with this. Hi ive found wierddd issue with the program flow of my moch a tests and have reduced it to this to this test test1 test1a suite12 test12a consolelog1 test12b log12a test12c logb12c consolelogb12b test 12bc logd12c test12d test 12c log 12b log 12d log 12c test 12a test 12d. I want to make mochA detect testjs files but skip nodemmodules but exclude with nodemODules does not seem to work how come such a simple case is not presented in the docs anyone gosh that answer is from 2018 is that really true that Mocha does not allow excluding things httpsstackoverflowcomquestions40734954mochahowtoignorenodemodule folder TBH Seems I gotta migrate my project\xa0 ASAP.'],384,2094,24242,55,440.76,11.58,0.21,Topic,Frameworks,2015,Software testing,,
MonoGame/MonoGame,https://gitter.im/MonoGame/MonoGame,Members discuss how to use; hints and problems related to Mono Game. It is a framework for the creation of cross-platform games - http://www.monogame.net/,['I just installed monogame 371 but there is no pipeline installed Why is this @WoutervanDixhoorn What 371 version did you install httpcommunitymonogamenettmonogame371release11173 For visual studio. This is what Ive downloaded and used too. After the install is the pipeline available in Windows at all Start Menu Monogame folder Monoggame Pipeline Also check to see if it is here CProgram Files x86MSBuildMonoGamev30ToolsPipelineexe Now after doing this I have found that Visual Studio doesnt understanddefault to using the MonogGame Pipelne for mgcb Rightclick it select Open With click Add point to the path and mark is as the default. Once thats done you should be able to open the Pipeline right from VS going forward. Thank you very much for the help I will try right now It worked Thank you so much I am so stupid Xd @WoustervanDIXhoorn Glad you got it working God i have the most aggravating bug atm im getting the strangest lighting behavior i have ever seen Two different models same shader same normal directions directly compared to the light and no matter what way the triangle winding direction is or the culling they are both lite up on the exact opposite sides. Its like the dudefbx has some weird mirror matrix or something crazy is going on Worse i coded the shader using the dude and when i did it i knew it was backwards and with a blender model the light is backwards which just confirms that suspicion racking my brains with this one. I need the help just with sound effect everytime the player is a positive score it means the player catches the food. If I do my development on maccommunity on the forum  there is a way to build the FX files on a remote machine that can build them to another machine and move them to my primary development machine. Yes the content builder extension that can do this is a Windows general extension. I can use this to do my primary developer development on a Mac machine where I do the primary development on the remote machine. If you do your development on  maccommunity \xa0on the forum\xa0and post a better post about it  \xa0I will try to help you out with this. I hope you will help me out with my next post. I am looking forward to hearing from you. Thanks for all your help and support. \xa0@WoutervanDxhoorn.'],399,681,45507,36,1264.08,66.82,1.86,Topic,Frameworks,2015,Games development,,
ngrx/store,https://gitter.im/ngrx/store,"Members discuss how to use; hints and problems related to NgRx Store. It is a reactive state management for Angular apps inspired by Redux; which ""unifies the events in the application and derive state using RxJS"" - https://ngrx.io/. Their GitHub repository is archived",['@mxdmedia Thanks I was not knowing that I will get the initial value on subscription I am out of office now will check this tomorrow. What would be the best placengOnchange or selectors to check the previous data and current data of the store and update the UI only if the data changes. How to name 2 action class when they do the same thing but come from multiple sources  its ok about types Page 1 DoSomething Page 2 DoSomething but class names we cant have two class with same name Do Something. What motivates you to help people for free like you just did with me  Two reasons 1 I have gotten a significant amount of help from people on this gitter in the past and I think of it as returning the favor. 2 by teaching others it helps to solidify conceptsideas in my own mind and thus helps me to become a better programmer So why not help others while also helping myself Winwin Pretty much same here really highlights your shortcomings in understanding when you have to explain it to someone else @mxd media TY No worries I hope it helped Hi can somebody help with typings Id like to enable typescripts strictFunctionTypesoption but my reducermaps doesnt like my types Im getting an error like this Typescript Type state AuthState undefined action PayloadLoginRequest TypedActionAuth Login Payload loginResponse Typed actionAuth Login Success PayloadError PayloadAction 5 more Payload Typedaction AuthState is not assignable to type Action AppActions Types of parameters are incompatible TypeAActions is not assigning a type to an action or action to a type. TypeActions and action types are incompatible. Type Actions are not assigned to type. type. Actions and actions are not assigning type to type or type to the type of the action or type that is being used for the action. type A is not assigned a type for an action to be called. Type B is not an action type for a type that can be used for multiple actions. Type C is an action that can only be called for one action at a time. Type D is the action type used to call the same action from two different sources. Type E is theaction type used for a single action. Type F is theActionType used to name two different actions for a different source. Type G is the ActionTypes used to refer to two different action types for the same source.type. A is a type type that has the same name for both sources and actions.'],426,1407,44329,41,1081.20,31.51,0.77,Topic,Tools,2016,Containers,,
numenta/public,https://gitter.im/numenta/public,Members discuss about Numenta; a scientific project about machine learning to discover how the human brain works. They specially discuss how to implement the machine learning proposed; issues and hints. They discuss that to apply what they learned in their own projects. The group migrated to Slack in 2018 and some users also use the Discord. Forum https://discourse.numenta.org/.,['HTM Hackers Hangout in 20m Join for live chat here. Announcing IRIShttpbitly2x0UrGl new Corticalio Demo Check it out LICENSEDTOTHRILLgif. Yall got dissed by Siraj on youtube. Does numenta have any good speech audio to text conversion tools out there  Ive seen experiments with nupic but nothing substantial as far as speech goes. How is this 1D array mapped to 2D nD Ie sample1x s1y s2x s2y or s1x 2x 3x s3x 1y    so say I have a SP with 32x32 columns an input field of 100x100 and I want to select there points 00 0 99 99 0 and call spcompute on that @all Sorry I have not been monitoring this chat If anyone has questions by far the best place to get answers is on HTM Forumhttpsdiscoursenumentaorg I always read those quickly and respond just a fast as I would here on chat  HTM hackers hangout start in 45 minutes details here. Hackers hangouts start in 30 minutes details   @all Announcing   I have been testing some data I collected in HTM studio and I notice there is a spike of anomalous behavior but it only seems to catch the spike in the middle. How do I figure out why it wouldnt catch the anomaly at the beginning at the start of the beginning? @cetex The cells in the column provide sequential context and preserveencode contextual features of the data. There is one that uses it called Grokhttpskstreamcom and another which uses some of the concepts of natural language processing called \xa0httpcorticalio. There are probably many others though many others now though HTM is very optimistically the way forward with AI it is still being developed. I have had some experience with it but have not yet used it in production in production. NLP could be used for the intijell rate for limiter system for distributed system for \xa0intijell\xa0system. I could have used the n upic on the product environment on the HTM product environment. I should have said that before but I just woke up but I am one of the maintainers of HTMMJavahttps://www.htrm.com/HTM-MJMJMJ.hola can anyone show me please how to call a C SpatialPooler with 2D data Im trying to replicate @rhyolight s cool work on Topology of the SP hey folks check out this cool thing I made with code.'],383,556,21494,39,551.13,38.66,0.99,Topic,Products,2014,Machine learning [Research],Coding,
pattern-lab/node,https://gitter.im/pattern-lab/node,"Members discuss about the use (e.g.; implementation; errors) of the patterns available in the group's GitHub account: ""This monorepo contains the core of Pattern Lab / Node and all related engines; UI kits; plugins and utilities. Pattern Lab helps you and your team build thoughtful; pattern-driven user interfaces using atomic design principles (https://github.com/pattern-lab/patternlab-node)"". Website: https://patternlab.io/","[""The quick and dirty solution would be to comment out those 4 lines of code in corestyleguidecodeviewerjs and rerun the gulp build. I do believe assuming this code is already forked and pulled in locally vs a nodemodules folder Yes got it Thanks. Hopefully I can find some time to upgrade all those deprecated packages and upgrade PL as well  No prob thumbsup  Hello does anyone else have any issue with the Full option in PL 300beta I find that it works the first instance but after that does not fire on the resize event its almost as if it just saves the initial value and uses that. Does anybody know why the patternlabbuild copies scss assets into a gulpfile that doesn't put them into the public folder? Is there an example of gulptask that doesnt put any scss into a public folder    @ampersand83twitter I also recently switched to Handlebars I have the meta files in both formats mustachehbs to workaround this issue. I have changed those templates in meta from 00headmustache to 00headhbsand the footer accordingly In patternlabconfigjson I switched the patternExtension from mustache to hbs Am I missing another configuration or does that version of the handlebars engine just not work with the patternlabnode version Any help would be appreciated  Hey there Im currently trying to upgrade from PL 12 to 212 I got it installed and now following the steps on httpspatternlabiodocsupgradinghtml But what does it mean to copy from source to source How is that useful The way I read this is to copy every file in the source directory to the source directories So they are already there What should I actually do What command should I run Maybe its actually a good idea to turn these instructions into executable commands So there can be no question as to what it means I guess because when I try to start my project its throwing a weird error about a missing essential file in patternlab itself not in my project. Its almost asif the 212 release is incomplete ERROR missing an essential file from nodemmodulespatternlabnodecore Pattern Lab wont work without this file  Well time to go home Ill get back to this in the morning Im on GMT1 @ampERSand83Twitter I also recent switched toHandlebars I also have the Meta files inBoth formats mustacheHbs to circumvent this issue Here is my working setup httpsgitlabcomringodszohositestemplatedevelopment Handlebars is indeed more powerful than Mustache A pattern in PL is a partial in Handlebars We all know how to call a partial nameofpartial But Handlebars supports Dynamic Partials which means that the name of the partial can be the result of a helper function Eg the JSON data in PL feeds the Handlebars rendering context so we can use the lookup function to read the pattern name from the data lookup contentpattern.""]",471,241,5797,33,175.67,24.05,0.73,Topic,Principles and practices,2016,Patterns,,
PerfectlySoft/PerfectDocs,https://gitter.im/PerfectlySoft/PerfectDocs,"Members used to discuss about the use; hints and problem of the Perfect toolkit. ""Perfect is a web server and toolkit for developers using the Swift programming language to build applications and other REST services."" - https://www.perfect.org/index.html. The chat migrated to Slack (http://www.perfect.ly/)","['GitHub is a free, open source software development tool for GitHub. It lets you create, edit, and share code on GitHub. The tool is currently being used to build and test web applications. It is also used to test and test RESTful RESTful web services. It can also be used to develop and test PHP, Python, Ruby, and other programming languages. It was recently used to create the first version of GitHub\'s RESTful API. It also allows you to test your code on other versions of the tool. It\'s also used as a way to test new features and add new features to the tool, such as new features such as the ability to add a comment to the root of a document. It has also been used to help with the development of a new version of the RESTful programming language, which allows users to comment on and edit the content of documents in a way that makes it easier for them to be read by other users. The code is written in the form of a JSON document, which means it can be decoded by the tool to produce a user name. The docs are written in a different language called ""jstl"" which means that the user\'s user name can be changed to a string. The document is called ""Jstl"", which means ""JSTl"" in English is the language used to store the user name of the document. The documentation is written as a string with a number, which is required in order for it to work. The doc is then broken up into subsections, with subsections listed under that link to the sections within it. The subsections are then listed under the HTTPRequest document and the sections are listed under those subsections. The sections are then linked to each other under the\xa0http://://www.gitHub.com/Github/Docs/ HTTPRequest/Request/FormData/FileUploads/formData.html.html?formData=formData&fileUploads&formDataId=FormData, fileUploads=FileData&formId=FileId, fileName=FileName, fileType=FileType, fileGroup=FileGroup, and the section name is the name for the section that has the most of the content. The Document is called HTTPRequest\xa0Request\xa0Response\xa0Routing\xa0Docs.html and has the sections listed under it are called ""Routing Docs\xa0Response"" and ""Response""\xa0Doc\xa0Guide"" The Document\'s name is ""Response\xa0Doc"" and it has the same name as the URL for the Request and Response object.']",364,60,240,1,240.00,4.00,4.00,Topic,Libraries,2016,Web development,Software documentation,
piskvorky/gensim,https://gitter.im/RaRe-Technologies/gensim,Members discuss how to use; hints and problems related to Gensim; a module for topic modelling of text in Python. ,['I was wondering if anyone might be familiar with the following error  AttributeError Cant get attribute DocvecsArray on module gensimmodelsdoc2vec from anaconda3lib python36sitepackagesgensim modelsdoc2vevecpy. There has been some refactoring in the past 23 releases. We tried to maintain backward compatibility but if NETL used some older version there may have been an issue. I had to retrain my model Doc2Vec from scratch because of the changes in Gensim that repository is 2 years old. Do we have any convenience function in gensin for getting a word vectors length as a proxy? I am seeing that sklearn has this method implemented already. I am probably not getting the point of corpus2dense Dont people typically want to deal with sparse matrices in language processing eg when training classification models over sparse language data for example you typically cant efficiently trainfit a model on a large bagofwordish dense matrix in sklearn without huge memory. What am I missing about it Greetings chat its nice to have joined you I have a relative simple question I suppose I want to use TFidf executed the example in comments and successfully the code returned a vector with the index of the word and the probability. How can I map theIndex of that word to the actual word is there a function I am not aware of Can I implement it somehow  I am Seeing that sklearning has this Method implemented already  @matanster for NumPy vectors you can get their length using vectorshape See the numpy vector of a word example at https://www.google.comforumtopicword2vectoolkitUK29Ke1Rzpg for its frequency in the data the embedding was trained over. What do you mean by wheel thats a binary distribution not source Btw the mailing list may be a better place  @eugines thats an interesting project I was not aware  Tweeted it out now. Apparently laziness is not the mother of all invention as I thought You have wasted 2 days waiting for someone else to do your work @phalexo no Ive not I was just curious how deep does the gensIM toolchain go @phalxo thanks for being agressive though Now ignoring your snarky comment Ill post another question for others if they care to respond I amprobably not getting  the point  of corpus 2dense. NLP produces dense matrices using the bagofwords representation using the dense space transformations as LSI transforms into a dense space representation. So using a dense structure saves you memory less overhead than representing a dense matrix using sparse structures using a sparse structure. Plus there are many other external tools in the ecosystem that still cannot handle the sparse structures.'],432,322,96275,33,2917.42,298.99,9.06,Topic,Libraries,2016,Machine learning [Libraries],,
python-babel/babel/maintenance-corner,https://gitter.im/python-babel/babel/maintenance-corner,"Members discuss about the maintenance of a project they are working on - Python Babel. ""Babel is a Python library that provides an integrated collection of utilities that assist with internationalizing and localizing Python applications (in particular web-based applications.)"" - https://github.com/python-babel/babel. They exchanged around 98 messages between 2015 and 2017.","[""@rrodriguezreche sent 30 eth to 0xDCF7bAECE1802D21a8226C013f7be99dB5941bEa. This is NOT real mainnet ETH has no market value and is only useful for testing 0x6Cf624161166a42b2A04281359524BF94fC389cD 0x07B99Ab633C32607B56c167BC8296f3381a7B67f. @Xaber20110202 requested too recently try again in 60 days. @makoshan sent 30 Eth to \xa00x1b8F407FB19d300d27d08ECB569eff8654d0fc8f. \xa0@weigd2013 requested too recent try again \xa0in 60 days 0xd7a0d7889577ef77c11ab5cc00817d1c9ade6b36. @Clown21351133twitter sent 30eth to 0X27f12994A218B1649FE185D19aAC00310aB198C5. @weigD2013 requested \xa0â€œtry again in 30 daysâ€. @he1AEC1EC8F85c721EA721E6a sent 30Eth to  0x1a50c8e2ee1082aec91e2e3cc88bf19866186333d3163c1dc3c2d85c922a559b REMINDER this is NOTRealMainnet.com ETH has\xa0no\xa0market\xa0value\xa0and is only\xa0useful\xa0for testing. 0x5409ed021d9299bf6814279a6a1411a7e7e866a. @epheph requested  â€œtry\xa0again\xa0in\xa060\xa0daysâ€™.  \xa0\xa0\u2009â€â€œâ€ â€œâ€œ\xa0â€  â€â€\xa0â€™â€ #â€#â€™#â€˜â€™ #â€™ â€™â€™  \u2009â€™\xa0â€šâ€™, â€˜#â€, â€ â€˜â€;. â€.â€™,. â€,â€™;.â€,. \u2009. â€œ#\u2009, â€™'â€™%â€™%, â€%â€%, â€™%\xa0â€˜#'â€%.â€™%. â€™. â€™%.â€., â€™!â€™%;. â€˜%\u2009%â€˜;â€™?â€™! â€™;â€!â€%;â€™:â€™$â€™+â€™Â£â€™+.â€™%:â€™&â€™%-â€+â€$â€&â€%Â£â€+.â€%-â€™ %â€™ &â€™@â€™Aâ€™ {â€™Iâ€™m not sure what this is. Iâ€™ll try and find out. But it doesnâ€™t seem like a good idea.\u2009%.\u2009.%. â€%. â€˜+â€˜%Â£%Â£'%. â€œ%Â£&â€˜+'%Â£$\u2009+\u2009#â€¢â€™+,â€™'#â€š%Â£Â£â€˜&\u2009!â€˜!\u2009+.â€˜%.â€˜%,â€™classâ€™!, â€™+ â€™#'%`â€™levelâ€™!. â€™+. â€™&#â€¼â€™sâ€™ +â€™Usersâ€™Tokenâ€™()â€™=â€™aâ€™-â€™Keyâ€™',â€™Userâ€™Nameâ€™.,â€™sourceâ€™}.â€™_â€™Messageâ€™..â€™""]",130,6,1743,26,67.04,290.50,11.17,Project,Libraries,2017,Web development,Graphical user interface,Software maintenance
R4stl1n/allianceauth,https://gitter.im/R4stl1n/allianceauth,"Members used to discuss about the development and maintenance of Alliance Auth; ""an auth system for EVE Online to help in-game organizations manage online service access"". Their GitHub repository is achived and their Gitter group is DEPRECATED. They are on Discord now. ","[""1128 is confirmed fixed  Thats no outstanding issues now  @basraah I think the point of dev perms is that we can commit to nonprotected branchescreate branches So its marginally useful cause forks Does gitter allow you to force an issue template not sure if i cant see those kinds of settings due to my permission level Yes it does im going to make a few i think they end up looking a little something like this httpsgitlabcomsoratidus999allianceauthblobissuetemplatesgitlabissueteemplatesBugmd then they just appear in issues why why is it POSSIBLY throwing up a conflict anyway its not really that important. If you want to version bump ill redo the tag and release notes 1106 Ah didnt see your comment Whats New   Add option to allow leaving a group without approval    New Group management Audit Log will log modifications to auditable noninternal groups   The Alliance Market is now Deprecated as it requires the CCP XML API Bug Fixes   A few more outstanding GitHub references are yet to migrate by username. Please let us know your gitlab username if you are mentioned by name. Updating Corp corps corps handling with no alliance handling. Migrate version status information to GitLab. Migrating alliance stats to gitlab by username   Updating alliance corps handling of no alliance stats with no corps handling. Updates zKill API to use new redis release due to imcompatabilities   Update SRP module for changes to the z kill API. Update zkill API to make it easier to use zKill with the new 30-minute release time.  Update zKillAPI to use the 30-second release time due to \xa0imcompatable\xa0difficulties\xa0with the zKill release.  \xa0Updating the alliance market to use a new 30 minute release time to make sure it doesn't run out of memory. \xa0Migrating the Alliance Market to a new release time of 30-minutes-long is a good way to get the most out of the new version of GitLab so that it can be used by all users at the same time. Migrated alliancestats to Gitlab by user name \xa0#gitlab-migrate-alliance-stats\xa0# gitlab- migrate-alliances-stats. # git-migrate- alliance-stats-v2.1.0.0 is a way to migrate alliancestats by user username.""]",347,228,136163,28,4862.96,597.21,21.33,Project,Tools,2016,Security,,
rchain/Releases,https://gitter.im/rchain/Releases,"This group is used to announce changes/releases for Rchain; a ""hub for content to help you learn about and get started with RChain platform"". ""This is also a hub for developers who want to participate in the project or plan to build on the RChain platform"" - https://developer.rchain.coop/.There is only 21 messages in this group; that were posted in 2018 (Jan-May).",[' Mercury release will contain support for wallet contracts a testnet and hundreds of nodes to learn more about the architecture of the platform I suggest reading the architecture document on rchaincoop Development is under way we released our NodeHello release which demonstrates the initial P2P communications layer We will be releasing our SDK sometime in January. Is someone willing to write an objective article titled The pros and cons of RChain The number of cons has to at least equal the number of pros And they cant be silly cons like humble bragging Ill have it translated into multiple languages Chinese Korean Japanese Spanish and promoted Message me on private if youd be able to maybe with a few example of cons just to see some objectivity right there Its preferable that a very technical person writes it @UptrendNetworktwitter This channel doesnt see much traffic If you havent already consider posting to other RChain social channels A listing is on the footer at httpsdeveloperrchaincoops. So the rchainrholangcli docker has not been updated in 3 months. How to run HelloWorld rho contract on the docker SDK  docker run ti v hellorhotmpinputrho rchainRholangCLi just opens an empty rosette terminal. The contents of HelloWorldrho are new helloWorld in contract helloWorldname Hello displayname n helloWorldJoe  And pasting the code directly in to Rosette interpreter gives the error warning no compiletime binding for no binding for in  hello Where does the input file live In hellorho or in Hello worldrho The lefthand side of that colon in the docker command should be an absolute path to the Rholang file you want to execute the helloworldrho is in the same path on which i am executing the command i havent really under stood what the inputrho file is and what to do with it or how its created. If you need to create the input rho file in a tmp Inputrho thanks it works now it returned  Hello Joe  great Hello. Can you change Membership Payment with ether with ether what is the current status of development what does Mercury release contian  Hello is this project still actively developing i notice the last commit was 1 month ago  Thanks  Is there a community manager Might be something to consider so folks who arent well versed on navigating Github can follow the project more closely  We are working on ways to make it easier for folks to following the project outside of Github.'],407,30,42,4,10.50,1.40,0.35,Topic,Frameworks,2018,Blockchain,Release,
reactioncommerce/architecture,https://gitter.im/reactioncommerce/architecture,"Members ask questions and discuss about architecture characteristics of the Reaction Commerce - an open-source e-commerce platform. They ask questions like ""why the project uses Meteor instead of GraphQL?""",['how can implement download button so user can download after making all the necessary purchase @dilas12345 Probably you could just add something to the completed order page @lcampanis I dont think we will be looking at merging any more packages into core We are actually looking to do the opposite and move anything thats not truly core into optional packages. We should update our references to our own ongoworks spiderable and reference yours instead as weve not actively maintained that package Thanks @aaronjudd Really appreciate it hi  I am looking for a portal same Ebay Anyone know if exist open source project  Hi @mvillalba2016 Reaction Commerce is an open source ecommerce platform but we arent specifically built for auction type functionality Has analytics been stripped out completely in 18 in 18 oops wrong channel maybe What is the current road for GraphQl  Will it only Server a a source to grab Data fromm from  serve damnit shouldnt use Gitter on my Phone I could also Imagine it to be a good bridge to sync products If there already is an specialized inventory management in use by a company so you build a GraphQL API around it I also wonder what the correct architecture would be there. Why did Reaction choose Meteor for a commerce framework I would have understood if it were a framework for building engagement apps Couldnt see any posts detailing the rationale behind this architectural decision This is a major one with a lot of scaling implications Especially curious to know why Meteor as opposed to a vanilla combination of MongoNodeExpressHapiReact or similar where each layerDB web services frontend could be individually scaled horizontally. More indepth info about exactly what the roadmap looks like should be forthcoming soon btw. Got you chose it from httpsblogblog    I will give them a try out today Thanks @zenweasel makes perfect sense Makes perfect sense Let us know happy to make amendments  1  Those two projects work in concert right You need both of them to get the benefits yes thats the thing one works with any meteor spiderable app the other one is the actual plugin for pluginscustom Cool. You may want to catch up on our community calls and other info as we have been talking for a while about how we are moving away from Meteor. More what was 4 years ago in a very different environment in 4 years now btw btw there is nothing that stops Meteor from also being scaled horizontally Got you choosing it from  httpsblogBlogBlog  \xa0I am going to build one Ecommerce platform from reaction commerce for my native apps i am working on.'],441,71,280,20,14.00,3.94,0.20,Topic,Frameworks,2017,Patterns,,
reactjs/redux,https://gitter.im/reactjs/redux,DEPRECATED in Gitter; but there are some new messages (latest posted on February 2; 2019). Overall; members discussed about the hints and problems using Redux for React; a JavaScript library. They are using Discord to keep the same discussions as in Gitter,['I am learning React and doing this small project Can anybody help me understand what does on a link a refbtn onClickthistoggleSidenavbindthis do excatly  My app worked fine running locally but when I deployed it to heroku the form body states are empty in signup signin form components. Can someone explain to me how does redux solve the problem of passing props from component to component when redux does the same? Is there any possibility to view the store data from browser or modify any data available in the store in the browser itself? Is it possible to attach a ref to a component not an element the actual component and pass it to a sibling component or even lift a ref up to its parent to pass back down to one of the parents child components. Is there a way I can communicate between different components using different react state apart from state and props? Can I use reactredx to save data getting saved in redux in IE11 or IE11? Can a container that is connected to the storehas nested childrenand one of them needs some data from storeit should connect to storeI thought only container should be connected to store Am I wrong @SagiSan the store usually wraps your entire app. In any file you could export connectmapStateToPropsBaseComponent and now that component is connected \xa0to the store assuming your mapStateTo props function does something useful. If you read them be helpful for you. You should not be doing that in render you should do your bindings in constructor. Any idea of how to include sourcemap in react project without ejecting I have used createreactapp to create the app anyone used noflo js with react am having trouble implementing ui components to be rendered @ericblade Thank you 3 Can someone give me an answer to my question please @NandKumarGangai lets say we have container child1 child2 child3for child 3 to get relevant datacontainer needs to send to child1then child1 to child2child2 to child18. Can you pick it up from the redux store without having to pass it through everything from child1to child18 to get it from the store? Can you use reduxsaga middleware to get data from the Redux store without passing it from child to child? If you are trying to keep secret data that has also been exchanged with the user you will also need to keep that secret to keep it secret.'],406,3693,16740,41,408.29,4.53,0.11,Topic,Libraries,2015,Web development,,
